Bridge Number,Bridge Name,Bridge Type,Bridge Span(Mtrs),Trail Type,District,Major RM/UM,Ward No,River Name,RM/UM Left,RM/UM Right,Latitude,Longitude,Coordinate Source,National Agency,Foreign Agency,Bridge Status,Action Taken,Mela Condition,Observerd by,Observers Name,Completion FY,Bridge Warden Name and address,Bridge Warden Contact No,Comment or Recommendation,Entered By,Entered Date,Updated By,Updated Date
02 5 037 18 06 01,Satidovan,D,,Main,Panchthar,Limba,,Kampu khola,Durdimba,Limba,26.8867847033,87.5757068396,GoogleEarth,DDC/VDC,SDC,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,2006/07,,,,Satya N. Lohala,,,
02 5 037 18 06 02,Tinghare,D,51,Local,Panchthar,Limba,,Mewa Khola,Limba,Kurumba,26.8895788368,87.641903758,GoogleEarth,DDC/VDC,RRRSDP+SDC/DFID,No action required,Yet No Action    ,,Bridge Expert,Bridge Expert,2011/2012,,,,Satya N. Lohala,,,
02 5 037 18 06 03,Madibung malbanse,D,55,Local,Panchthar,Limba,,Kampu khola,Durdimba,Limba,26.9057585733,87.5747546554,GoogleEarth,DDC/VDC,RRRSDP+SDC/DFID,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2010/11,,,,Satya N. Lohala,,,
08 5 030 18 06 07,Tarangphang,D,57,Main,Terhathum,Morahang,,Tangmaya,Morahang,Aambung,27.201210286,87.5146383047,GoogleEarth,GoN,SDC,No action required,Yet No Action    ,,Bridge Expert,Bridge Expert,2012/2013,,,,Arpan Limbu,,,
08 5 030 18 06 08,Tangmaya bridge,D,45,Main,Terhathum,Morahang,,Tangmaya,Morahang,Aambung,27.2042637798,87.5118032098,GPS,GoN,Other,No action required,Yet No Action    ,,NGO personnel,NGO personnel,1988/1989,,,,Arpan Limbu,,,
10 5 021 18 06 06,Mamlakha (julke),D,68.30,Local,Bhojpur,Bhaisepankhya,,Andheri,Bhaisepankhya,Bhaisepankhya,27.19897259445709,87.0893740653587,GoogleEarth,DDC,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,,,,MM don FY 2017/2018,,,,
10 5 027 18 06 06,Aakhuwa,ST,32,Local,Bhojpur,Aangtep,,Akhuwa khola,Bhaisepankhya,Aangtep,27.1857840928,87.0849323273,GPS,VDC,KAABGN,No action required,Yet No Action    ,,Public,Public,2009/2010,,,,Bhanu.B shrestha,,,
05 5 012 18 06 01,Pakkibandha,ST,32,Local,Morang,Hasandaha,3,Pathari,Hasandaha,Hasandaha,26.5845358922,87.572029531,GoogleEarth,DDC,SDC,Protection,Yet No Action    ,,NGO personnel,NGO personnel,2011/12,Rusting of nuts & bolts,,,,,,
02 5 002 18 06 01,Siwa dovan,D,51,Local,Panchthar,Lumpfagung,,Nibu khola,Rani gaun,Lumfagung,27.13066324599427,87.69611656665165,GoogleEarth,GoN,Other,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,1976/1977,,,,Satya N. Lohala,,,
02 5 001 18 06 02,Simkuna,D,113,Local,Panchthar,Lungruppa,,Bharyang Khola,Lungruppa,Lungruppa,27.1008374478,87.8603965044,GoogleEarth,DDC/VDC,SDC,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,2005/06,,,,Satya N. Lohala,,,
02 5 001 18 06 03,Sirwani ,D,45,Local,Panchthar,Lungruppa,,Aptawa khola,Ranitar,Lungruppa,27.1043664408,87.8331720829,GoogleEarth,DDC/VDC,SDC,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,2006/07,,,,Satya N. Lohala,,,
02 5 001 18 06 04,Wasum,D,69,Local,Panchthar,Lungruppa,,Aptawa khola,Ranitar,Lungruppa,27.084719185,87.8409183025,GoogleEarth,DDC/VDC,SDC,Protection,Yet No Action    ,,DDC Personnel,DDC Personnel,2002/03,,,,Satya N. Lohala,,,
05 5 007 18 06 02,Chhalgachi,ST,32,Local,Morang,Mahadewa,9,Purano Ratuwa,Mahadeva,Mahadeva,26.4194536642,87.6584020257,GoogleEarth,DDC,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2011/12,,,,,,,
02 5 001 18 06 05,Tribeni,ST,11,Local,Panchthar,Lungruppa,,Aptawa khola,Ranitar,Lungruppa,27.1182019808,87.8260213137,GoogleEarth,DDC,Other,Major Maintenance,Yet No Action    ,,DDC Personnel,DDC Personnel,1998/99,,,,Satya N. Lohala,,,
02 5 001 18 06 06,Tintole,D,83,Local,Panchthar,Lungruppa,,Pheme khola,Lungruppa,Lungruppa,27.1135083552,87.8718361259,GoogleEarth,DDC/VDC,SDC,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,2006/07,,,,Satya N. Lohala,,,
08 5 023 18 06 01,Simle Bridge,D,80,Main,Terhathum,Thoklung,,Koyakhola,Thoklung,Simle,27.1531473022,87.6353779435,GPS,GoN,Other,No action required,Yet No Action    ,,NGO personnel,NGO personnel,1995/1996,,,,Arpan Limbu,,,
05 5 001 18 06 01,Adarsha,ST,24,Local,Morang,Rangoli,4,Moriya Dhadri,Rangeli,Rangeli,26.4688322731,87.4965065718,GoogleEarth,DDC,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2011/12,,,,,,,
02 5 027 18 06 01,Ditar ,N,157,Main,Panchthar,Maiwa,,Nawa khola,Kuruletenupa,Maiwa,26.981098691,87.4944627285,GoogleEarth,GoN,Other,Major Maintenance,Yet No Action    ,,DDC Personnel,DDC Personnel,1981/82,,,,Satya N. Lohala,,,
02 5 027 18 06 02,Haakpara,D,130,Main,Panchthar,Maiwa,,Tamor River,Maiwa,Phakchamara,27.0049892662,87.5224649906,GoogleEarth,GoN,Other,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,1996/97,,,,Satya N. Lohala,,,
02 5 021 18 06 01,Chorung dovan,D,84,Local,Panchthar,Mangjabuk,,Sanwa khola,Angana,Mangjabung,27.0325278721,87.6040631533,GoogleEarth,Other,KAABGN,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,2001/2002,,,,Satya N. Lohala,,,
02 5 021 18 06 02,Chumling,N,60,Local,Panchthar,Mangjabuk,,Sawa khola,Angana,Mangjabung,27.0089920424,87.6120212674,GoogleEarth,GoN,Other,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,1992/93,,,,Satya N. Lohala,,,
05 5 009 18 06 01,Satartol,ST,32,Local,Morang,Gobindapur,3,Auntiholi,Govindapur,Govindapur,26.5085028095,87.5953513384,GoogleEarth,DDC,SDC,Protection,Yet No Action    ,No,NGO personnel,NGO personnel,2009/10,,,,,,,
02 5 021 18 06 03,Sanwadhuwa,D,95,Local,Panchthar,Mangjabuk,,Sawa khola,Olane,Mangjabung,27.0061315655,87.6294878125,GoogleEarth,DDC/VDC,RRRSDP+SDC/DFID,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,2010/11,,,,Satya N. Lohala,,,
02 5 021 18 06 04,Namenchi dovan,D,73,Local,Panchthar,Mangjabuk,,Sawa khola,Sarangdanda,Mangjabung,27.012034057,87.6567363739,GoogleEarth,DDC/VDC,RRRSDP+SDC/DFID,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,2010/11,,,,Satya N. Lohala,,,
02 5 008 18 06 01,Ghumaune,D,62,Local,Panchthar,Memeng,,Henwa Khola,Sidin,Memeng,27.1835723372,87.8867867589,GoogleEarth,Other,KAABGN,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,2004/05,,,,Satya N. Lohala,,,
02 5 008 18 06 02,Tuneebote,D,78,Local,Panchthar,Memeng,,Henwa Khola,Prangbung,Memeng,27.1845195562,87.9381939769,GoogleEarth,DDC/VDC,SDC,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,2005/06,,,,Satya N. Lohala,,,
02 5 008 18 06 03,Lungmadin,D,90,Local,Panchthar,Memeng,,Henwa Khola,Memeng,Memeng,27.1876689417,87.9227632284,GoogleEarth,Other,KAABGN,No action required,Yet No Action    ,,NGO personnel,NGO personnel,1996/97,,,,Satya N. Lohala,,,
05 5 045 18 06 01,Bhulke,ST,32,Local,Morang,Mrigauliya,6,Bhulke,Mirgauliya,Mirgauliya,26.664567043,87.3668834567,GoogleEarth,DDC,SDC,Major Maintenance,Yet No Action    ,,NGO personnel,NGO personnel,2009/10,,,,,,,
05 5 046 18 06 02,Laliguransh,N,79.40,Local,Morang,Dulari,1,Budhi Khola,Dulari,Ithari,26.6562445165,87.2853684425,GoogleEarth,DDC,SDC,Major Maintenance,Yet No Action    ,,NGO personnel,NGO personnel,2012/13,Training works completed in FY 2012/13,,,,,,
02 5 008 18 06 05,Gurungtar,D,94,Local,Panchthar,Memeng,,Henwa Khola,Prangbung,Memeng,27.1800291422,87.9457551241,GoogleEarth,Other,KAABGN,No action required,Yet No Action    ,,Bridge Expert,Bridge Expert,2012/13,,,,Satya N. Lohala,,,
02 5 008 18 06 06,Kheuthame ST,ST,28,Main,Panchthar,Memeng,,Kheuthame khola,Memeng,Memeng,27.1917677814,87.924721241,GoogleEarth,Other,KAABGN,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,2009/10,,,,Satya N. Lohala,,,
02 5 008 18 06 07,Sasutar,D,54,Local,Panchthar,Memeng,,Henwa Khola,Prangbung,Memeng,27.1848177972,87.8986099362,GoogleEarth,Other,KAABGN,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,2001/2002,,,,Satya N. Lohala,,,
05 5 036 18 06 02,Dovan,D,68.50,Local,Morang,Patigaun,7,Khadam Khola,Bhogteni,Patigaun,26.8149627914,87.4087178707,GoogleEarth,DDC,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,1984/85,MM completed in FY 2013/14,,,ajit kr yadav,,,
10 5 006 18 06 08,Sankhuwa Bridge,LN,35.1,Local,Bhojpur,Kulung,,Sankhuwa Khola,Tamphu,Kulung,27.4560739656,87.1291995049,GoogleEarth,Other,Other,No action required,Yet No Action    ,,NGO personnel,NGO personnel,,,,,Bhanu.B shrestha,,,
05 5 035 18 06 03,Samewa,D,46,Local,Morang,Singhdevi,8,Samewa,Shinghadevi,Shinghadevi,26.8470589127,87.4539399147,GoogleEarth,GoN,SWAp,No action required,Yet No Action    ,No,NGO personnel,NGO personnel,2008/09,,,,,,,
05 5 040 18 06 01,Patapur Suntale,D,114.1,Local,Morang,Letang,9,Buwa Khola,Letang,Warangi,26.7766892739,87.5079381466,GoogleEarth,DDC,SDC,No action required,Yet No Action    ,No,NGO personnel,NGO personnel,2000/01,,,,,,,
02 5 016 18 06 01,Khorepa,dw,,,Panchthar,Nagi,,,,,27.2730358582,87.7768349648,,,,,Yet No Action    ,,,,,,,,,,,
02 5 012 18 06 10,Mugale,D,21,Local,Panchthar,Bharappa,,Henwa Khola,Nagin,Bharappa,27.1639032013,87.7801287174,GoogleEarth,Other,Other,Major Maintenance,Yet No Action    ,,DDC Personnel,DDC Personnel,1996/97,,,,Satya N. Lohala,,,
02 5 003 18 06 03,Sangubote,D,111,Local,Panchthar,Nagin,,Pheme khola,Fidim,Nagin,27.1455075268,87.7816414833,GoogleEarth,DDC/VDC,SDC,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,2001/2002,,,,Satya N. Lohala,,,
02 5 003 18 06 05,Kartike,D,24,Local,Panchthar,Nagin,,Pheme khola,Fidim,Nagin,27.1411110181,87.7933439612,GoogleEarth,Other,Other,Emergency Rehabilitation,Yet No Action    ,,DDC Personnel,DDC Personnel,1992/93,,,,Satya N. Lohala,,,
02 5 003 18 06 06,Power house,D,95.5,Local,Panchthar,Nagin,,Pheme khola,Fidim,Nagin,27.1507057813,87.7767437696,GoogleEarth,DDC/VDC,SDC,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,2007/08,,,,Satya N. Lohala,,,
02 5 032 18 06 02,Magena dovan,D,76,Local,Panchthar,Nawamidanda,,Nibu khola,Aasarang,Nawamidanda,27.0699647631,87.7016767859,GoogleEarth,DDC/VDC,SDC,Major Maintenance,Yet No Action    ,,NGO personnel,NGO personnel,2004/05,,,,Satya N. Lohala,,,
02 5 032 18 06 03,Laksibung,D,46,Local,Panchthar,Nawamidanda,,Nibu khola,Aasarang,Nawamidanda,27.0328695235,87.7690297365,GoogleEarth,Other,KAABGN,No action required,Yet No Action    ,,NGO personnel,NGO personnel,1996/97,,,,Satya N. Lohala,,,
02 5 028 18 06 01,Majuwa dovan,D,56.5,Local,Panchthar,Olne,,Dhuwa khola,Olane,Sarangdanda,26.9740400103,87.655979991,GoogleEarth,DDC/VDC,RRRSDP+SDC/DFID,No action required,Yet No Action    ,,Bridge Expert,Bridge Expert,2011/12,,,,Satya N. Lohala,,,
03 5 015 18 06 01,Siddhi Khola,D,,Local,Ilam,Samalbung,,Siddhi khola,Samalbung,Kanyam,26.856219358072234,88.11646163467128,GoogleEarth,GoN,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,,,,,Bhanu.B shrestha,,,
03 5 041 18 06 02,Khorshane,D,81,Local,Ilam,Mabu,,Maikhola,Maimajuwa,Mabu,27.0639458915,87.953453064,GoogleEarth,GoN,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,,,,,Bhanu.B shrestha,,,
08 5 002 18 06 04,Simle phedi,D,120,Main,Terhathum,Myanglung,,Khorunga Khola,Simle,Myanglung,27.1124268357,87.6051306725,GoogleEarth,GoN,KAABGN,Major Maintenance,Yet No Action    ,,NGO personnel,NGO personnel,1885/1986,LSTB Design,,,Arpan Limbu,,,
02 5 017 18 06 02,Aapdanda,D,104,Main,Panchthar,Oyam,,Inwa Khola,Oyam,Angkhop,27.282476239,87.8814196587,GoogleEarth,DDC/VDC,RRRSDP+SDC/DFID,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,2008/09,,,,Satya N. Lohala,,,
03 5 024 18 06 07,Maimjhuwa Truss,ST,33,Main,Ilam,Maimjhuba,,Maikhola,Maimjhuba,Nabu,27.0573390915,87.9477614164,GoogleEarth,GoN,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2001/02,,,,Bhnu B shrestha,,,
02 5 017 18 06 03,Chaite(Kholatar),D,44,Local,Panchthar,Oyam,,Thado khola,Oyam,Oyam,27.260313915,87.8775787354,GoogleEarth,DDC/VDC,SDC,Emergency Rehabilitation,Yet No Action    ,,NGO personnel,NGO personnel,1999/2000,"Totally damaged by Mid hill road construction.
(Absolute Bridge)",,,Satya N. Lohala,,,
02 5 017 18 06 04,Khibuna Musepa,D,38,Local,Panchthar,Oyam,,Siwa Khola,Tharpu,Oyam,27.2645006822,87.859801054,GoogleEarth,DDC/VDC,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2002/03,,,,Satya N. Lohala,,,
02 5 017 18 06 05,Sengewa,D,70,Main,Panchthar,Oyam,,Siwa Khola,Tharpu,Oyam,27.2730740027,87.8607022762,GoogleEarth,DDC/VDC,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2003/04,,,,Satya N. Lohala,,,
02 5 017 18 06 06,Salbote,D,108,Local,Panchthar,Oyam,,Thado khola,Oyam,Oyam,27.2761112218,87.9152852297,GoogleEarth,DDC/VDC,SDC,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,2004/05,,,,Satya N. Lohala,,,
02 5 013 18 06 01,Khaireni,D,107,Local,Panchthar,Panchami,,Subhang khola,Subhang,Panchami,27.2168967214,87.7552780509,GoogleEarth,DDC/VDC,SDC,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,2005/06,,,,Satya N. Lohala,,,
02 5 013 18 06 02,Nakale Ghat,D,170,Main,Panchthar,Panchami,,Tamor River,Panchami,Chhatedhunga,27.2235632648,87.7472448349,GoogleEarth,DDC/VDC,SDC,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,2004/05,,,,Satya N. Lohala,,,
02 5 013 18 06 03,Bhusune,Other,20,Local,Panchthar,Panchami,,Subhang khola,Subhang,Panchami,27.22066295,87.7736082673,GoogleEarth,Other,Other,Major Maintenance,Yet No Action    ,,DDC Personnel,DDC Personnel,,Local type bridge ,,,Satya N. Lohala,,,
02 5 013 18 06 04,Alaiche,D,78,Local,Panchthar,Panchami,,Subhang khola,Subhang,Panchami,27.2241309162,87.7905195951,GoogleEarth,DDC/VDC,SDC,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,2008/09,,,,Satya N. Lohala,,,
03 5 002 18 06 03,Asale,N,62.02,Main,Ilam,Namsaling,,Jogmai,Namsaling,Panchakanya,26.8972982285,87.9930102825,GoogleEarth,GoN,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,,,,,Bhnu B shrestha,,,
02 5 041 18 06 01,Kavre Dovan,D,62,Local,Panchthar,Pauwasaratap,,Nibu khola,Chilingdin,Pauwasaratap,27.0155634554,87.7682948112,GoogleEarth,DDC/VDC,SDC,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,1999/2000,,,,Satya N. Lohala,,,
02 5 041 18 06 03,Tribeni,D,94,Main,Panchthar,Pauwasaratap,,Nibu khola,Chilingdin,Pauwasaratap,27.0361880271,87.7802789211,GoogleEarth,DDC/VDC,RRRSDP+SDC/DFID,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,2010/11,Bridge structurally safe but access road required.,,,Satya N. Lohala,,,
10 5 023 18 06 02,Serakhola,D,27.5,Local,Bhojpur,Bokhim,,Sherakhola,Bokhim,Sideswar,27.1865094055,87.0142507553,GoogleEarth,Other,Other,No action required,Yet No Action    ,,NGO personnel,NGO personnel,1947/1948,,,,Bhanu.B shrestha,,01.09.2014,
02 5 009 18 06 01,Kholaghari,D,56,Local,Panchthar,Prangbung,,Muwa khola,Sidin,Prangbung,27.1476436616,87.9176911712,GoogleEarth,DDC/VDC,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2001/02,,,,Satya N. Lohala,,,
03 5 005 18 06 04,Mayum Pandam,D,47,Local,Ilam,Gorkhe,,Mayum Khola,Gorkhe,Fikhel,26.9343568761,88.0656042695,GoogleEarth,GoN,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,,,,,Bhnu B shrestha,,,
02 5 009 18 06 02,Maghe Mela(Dharmatar),D,96,Local,Panchthar,Prangbung,,Muwa khola,Sidin,Prangbung,27.1766671783,87.8961315751,GoogleEarth,Other,KAABGN,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,2005/06,,,,Satya N. Lohala,,,
02 5 009 18 06 03,Ludintar,D,67,Local,Panchthar,Prangbung,,Muwa khola,Sidin,Prangbung,27.1538418014,87.9089149833,GoogleEarth,DDC/VDC,SDC,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,2008/09,,,,Satya N. Lohala,,,
02 5 009 18 06 04,Kothe sanghu,D,56,Local,Panchthar,Prangbung,,Muwa khola,Sidin,Pra,27.1501186628,87.9119458795,GoogleEarth,DDC/VDC,RRRSDP+SDC/DFID,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,2006/07,,,,Satya N. Lohala,,,
10 5 050 18 06 01,Chandi than,D,47.3,Main,Bhojpur,Baikhunthe,,Aari khola,Baikunthe,Basikhora,27.050827453697305,87.01742917303045,GoogleEarth,GoN,RRRSDP+SDC/DFID,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2013/2014,,,,Bhanu.B shrestha,,Roshan basnet,
02 5 009 18 06 05,Latidanda,D,59,Local,Panchthar,Prangbung,,Henwa Khola,Prangbung,Memeng,27.1854190488,87.9329931736,GoogleEarth,DDC/VDC,RRRSDP+SDC/DFID,No action required,Yet No Action    ,,Bridge Expert,Bridge Expert,2012/13,,,,Satya N. Lohala,,,
02 5 038 18 06 01,Nawa kurumba,D,56,Local,Panchthar,Rabi,,Nawa khola,Kurumba,Rabi,26.9051319028,87.6628115773,GoogleEarth,Other,KAABGN,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,2001/02,,,,Satya N. Lohala,,,
02 5 038 18 06 02,Thamthum,ST,32,Local,Panchthar,Rabi,,Thamthum khola,Rabi,Rabi,26.9241840004,87.658726573,GoogleEarth,Other,KAABGN,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,2001/02,,,,Satya N. Lohala,,,
02 5 038 18 06 03,Nuwa,RCC,12,Local,Panchthar,Rabi,,Nuwa khola,Rabi,Rabi,26.9303227495,87.6850363612,GoogleEarth,Other,KAABGN,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,1996/97,,,,Satya N. Lohala,,,
02 5 020 18 06 01,Namdu Truss,ST,32,Local,Panchthar,Ranitar,,Namdu khola,Ranitar,Ranitar,27.0966254324,87.7934110165,GoogleEarth,Other,KAABGN,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,2001/2002,,,,Satya N. Lohala,,,
02 5 020 18 06 02,Raghethan,D,63,Main,Panchthar,Ranitar,,Namdu khola,Ranitar,Ranitar,27.1226137139,87.789953649,GoogleEarth,DDC/VDC,SDC,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,2002/03,,,,Satya N. Lohala,,,
02 5 020 18 06 03,Kaklimba,D,75,Local,Panchthar,Ranitar,,Pheme khola,Nagin,Ranitar,27.1352344156,87.8165692091,GoogleEarth,DDC/VDC,RRRSDP+SDC/DFID,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,2008/09,,,,Satya N. Lohala,,,
02 5 020 18 06 04,Asine,ST,32,Local,Panchthar,Ranitar,,Namdu khola,Fidim,Ranitar,27.1050636306,87.7898570895,GoogleEarth,DDC/VDC,RRRSDP+SDC/DFID,No action required,Yet No Action    ,,Bridge Expert,Bridge Expert,2013/14,,,,Satya N. Lohala,,,
02 5 029 18 06 01,Rasiya dovan,D,38,Local,Panchthar,Sarangdanda,,Sanwa khola,Sarangdanda,Sarangdanda,26.9961396378,87.684212923,GoogleEarth,DDC/VDC,SDC,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,1999/2000,this bridge walkway width 34cm need to extra widening. ,,,Satya N. Lohala,,K Rawal,19 Aug 2016
02 5 029 18 06 02,Olane dovan,D,95,Main,Panchthar,Sarangdanda,,Dhuwa khola,Olane,Sarangdanda,26.9890579996,87.6338759065,GoogleEarth,DDC/VDC,SDC,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,2004/05,,,,Satya N. Lohala,,,
02 5 029 18 06 03,Pung khola,D,68,Local,Panchthar,Sarangdanda,,Pung khola,Sarangdanda,Sarangdanda,27.0018180103,87.6762896776,GoogleEarth,DDC/VDC,SDC,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,2005/06,,,,Satya N. Lohala,,,
02 5 004 18 06 01,Tin dovane,D,,Main,Panchthar,Shiba,,Siwa Khola,Shiba,Shiba,27.083279174,87.7669671178,GoogleEarth,DDC/VDC,SDC,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,2002/03,,,,Satya N. Lohala,,,
02 5 010 18 06 02,Charandi,D,101.5,Local,Panchthar,Sidin,,Muwa khola,Sidin,Prangbung,27.1629247842,87.9059940577,GoogleEarth,DDC/VDC,RRRSDP+SDC/DFID,No action required,Yet No Action    ,,Bridge Expert,Bridge Expert,2011/2012,,,,Satya N. Lohala,,,
02 5 014 18 06 01,Dumrephedi,D,90,Main,Panchthar,Subhang,,Subhang khola,Subhang,Panchami,27.2196015495,87.7649635077,GoogleEarth,DDC/VDC,RRRSDP+SDC/DFID,No action required,Yet No Action    ,,Bridge Expert,Bridge Expert,2011/12,,,,Satya N. Lohala,,,
02 5 014 18 06 02,Sitaula ,D,120,Local,Panchthar,Subhang,,Tamor River,Subhang,Chuhandadha,27.1796616933,87.7131807804,GoogleEarth,DDC/VDC,RRRSDP+SDC/DFID,No action required,Yet No Action    ,,Bridge Expert,Bridge Expert,2011/12,,,,Satya N. Lohala,,,
02 5 005 18 06 01,Khong khola,RCC,12,Main,Panchthar,Yangnam,,Khong khola,Yangnam,Yangnam,27.1539563575,87.8181758523,GoogleEarth,Other,KAABGN,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,1996/97,,,,Satya N. Lohala,,,
10 5 051 18 06 04,Lapsi bote,D,54.5,Local,Bhojpur,Bashikhora,,Kawa khola,Basikhora,Ranibas,27.03419789238716,87.06698030229848,GoogleEarth,GoN,Other,No action required,Yet No Action    ,,NGO personnel,NGO personnel,20142015,,,,Bhanu.B shrestha,,,
02 5 005 18 06 02,Khokche,D,50,Local,Panchthar,Yangnam,,Henwa Khola,Yangnam,Ekttin,27.1881413418,87.8638029099,GoogleEarth,GoN,Other,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,1996/97,MM completed in 2013/2014.,,,Satya N. Lohala,,,
02 5 005 18 06 03,Samangha,D,83,Local,Panchthar,Yangnam,,Henwa Khola,Yangnam,Bharappa,27.1885946532,87.8386062384,GoogleEarth,DDC/VDC,RRRSDP+SDC/DFID,No action required,Yet No Action    ,,Bridge Expert,Bridge Expert,2011/12,,,,Satya N. Lohala,,,
02 5 005 18 06 04,Phagutar,D,71,Local,Panchthar,Yangnam,,Henwa Khola,Yangnam,Ekttin,27.1890241044,87.8535246849,GoogleEarth,DDC/VDC,RRRSDP+SDC/DFID,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,2008/09,,,,Satya N. Lohala,,,
02 5 024 18 06 01,Sanwasera,D,66,Main,Panchthar,Yasok,,Sanwa khola,Angana,Yasok,27.0372535589,87.5365358591,GoogleEarth,GoN,Other,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,1981/82,MM completed in 2013/2014.,,,Satya N. Lohala,,,
02 5 024 18 06 02,Phakchuwa,D,85,Local,Panchthar,Yasok,,Chorunga khola,Mangjabuk,Yasok,27.0424281728,87.6365983486,GoogleEarth,DDC/VDC,RRRSDP+SDC/DFID,No action required,Yet No Action    ,,DDC Personnel,DDC Personnel,2009/10,,,,Satya N. Lohala,,,
03 5 045 18 06 01,Kerabari,ST,32,Local,Ilam,Bajho,,Ratuwa Khola,Banjho,Banjho,26.8363971161,87.7057993412,GoogleEarth,GoN,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,,,,,Bhnu B shrestha,,,
09 5 021 18 06 02,Khamling Phedi,D,54,Main,Sankhuwasabha,Aakhibhuie,,Piluwakhola,Aakhibhuin,Baneshwore,27.246410142,87.2822731733,GoogleEarth,DDC/VDC,Other,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2064/2065 BS,Bikram Sambat,,,Arpan Limbu,,,
09 5 021 18 06 03,Piluwaghat,D,142,Main,Sankhuwasabha,Aakhibhuie,,Piluwakhola,Aakhibhuin,Kharang,27.2174739477,87.2426006198,GoogleEarth,GoN,Other,No action required,Yet No Action    ,,NGO personnel,NGO personnel,,,,,Arpan Limbu,,,
09 5 021 18 06 04,Piluwa Jajhare,D,76,Local,Sankhuwasabha,Aakhibhuie,,Piluwakhola,mamling,Madirambeni,27.2575361607,87.334305346,GoogleEarth,GoN,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,,,,,Arpan Limbu,,,
08 5 029 18 06 04,Kamere Truss,D,32,Local,Terhathum,Samdru,3,kamere khola,samdu,samdu,27.2231458721,87.5763344765,GoogleEarth,DDC/VDC,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2013/2014,,,,Arpan Limbu,,,
10 5 044 18 06 01,Aambote,D,50.20,Local,Bhojpur,Pawala,,Yakhuwa khola,Pawala,Dummana,26.94148738577508,87.03761816029146,GPS,GoN,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2012/2013,,,,Bhanu.B shrestha,,,
03 3 001 18 06 07,Sethi Devi,D,50.80,Local,Ilam,Ilam Municipality,,Puwa Khola,Santidanda,Ilam Municipality,26.9178846795,87.9084187746,GoogleEarth,GoN,SDC,Major Maintenance,Yet No Action    ,,NGO personnel,NGO personnel,,,,,Bhnu B shrestha,,,
